,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
0,070 Shake,AAP Rocky,AAP Twelvyy,Ab-Soul,Action Bronson,Ameer Vann,Aminé,BADBADNOTGOOD,BJ The Chicago Kid,BROCKHAMPTON,Bas,Benny The Butcher,Big K.R.I.T.,Black Hippy,Boldy James,Casey Veggies,Chance the Rapper,Chief Keef,Childish Gambino,Childish Major,Choker,Clipse,Curreny,CyHi,Danny Brown,Death Grips,Denzel Curry,Dizzy Wright,Dom Kennedy,Domo Genesis,Donnie Trumpet  The Social Experiment,Duckwrth,EARTHGANG,Earl Sweatshirt,Erick the Architect,Flatbush Zombies,Frank Ocean,Freddie Gibbs,GoldLink,IDK,Injury Reserve,Isaiah Rashad,J. Cole,JPEGMAFIA,Jaden,Jay Electronica,Jay Rock,Jet Age of Tomorrow,Joey Bada,Joey Purp,JulezJZ,KIDS SEE GHOSTS,Kanye West,KayCyy,Kendrick Lamar,Kenny Mason,Kevin Abstract,Kid Cudi,Kilo Kish,King Geedorah,Kirk Knight,Kota the Friend,Lil B,Lute,Mac Miller,Madvillain,MellowHigh,MellowHype,Mick Jenkins,Mike G,Noname,Odd Future,Pharrell Williams,Phony Ppl,Pusha T,REASON,Rejjie Snow,Rich Brian,Roc Marciano,Saba,ScHoolboy Q,Shelley FKA DRAM,Smino,Smoke DZA,Solange,SpaceGhostPurrp,Spillage Village,Statik Selektah,Taylor Bennett,The Alchemist,The Cool Kids,The Internet,The Underachievers,Tierra Whack,Tyler The Creator,VRITRA,Vince Staples,WZRD,Westside Gunn,Yeek,Young Ratoo,billy woods,redveil,slowthai,tobi lou,,,,,,,,,,,,,,,,,
1,2 Chainz,Ace Hood,August Alsina,B.o.B,Baby Bash,Big Sean,Birdman,Bobby V.,Bow Wow,Bun B,DJ Drama,DJ Khaled,Drake,Eric Bellinger,Fabolous,French Montana,Ginuwine,Gucci Mane,J. Holiday,Jacquees,Jadakiss,Jeezy,Jeremih,Jim Jones,Juelz Santana,Juicy J,K CAMP,Kid Ink,Lil Wayne,Lloyd,Lloyd Banks,Mario,Max B,Meek Mill,Mike Jones,Mustard,Nipsey Hussle,Omarion,Pleasure P,Plies,Preme,Pretty Ricky,Rich Homie Quan,Rick Ross,Sammie,Sevyn Streeter,Slim Thug,Styles P,T-Pain,T.I.,The Diplomats,The-Dream,Tory Lanez,Trey Songz,Ty Dolla ign,Tyga,Uncle Murda,Vado,Waka Flocka Flame,Wale,Yo Gotti,Young Buck,Young Dro,Young Money,Young Scooter,Zaytoven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6LACK,Brent Faiyaz,Bryson Tiller,Che Ecru,DaniLeigh,ELHAE,Eli Sostre,H.E.R.,Jazmine Sullivan,Jhené Aiko,Kaash Paige,Keyshia Cole,Majid Jordan,Miguel,Nbdy,PARTYNEXTDOOR,Ramriddlz,Ro James,Roy Woods,Ryan Trey,SiR,Syd,THEY.,TWENTY88,TYuS,Tems,Teyana Taylor,Xavier Omär,Yo Trane,anders,dvsn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,21 Savage,24hrs,6 Dogs,6ix9ine,88GLAM,A Boogie Wit da Hoodie,AAP ANT,AAP Ferg,AAP Mob,Almighty Jay,BLEU,BlocBoy JB,Blueface,Bobby Shmurda,COTIS,City Morgue,Comethazine,Cooliecut,Cordae,Cousin Stizz,Craig Xen,D. Savage,DDG,DaBaby,Danger Incorporated,Dbangz,DeJ Loaf,Desiigner,Don Toliver,Duwap Kaine,Famous Dex,Fat Nick,Fetty Wap,Flipp Dinero,Fukkit,Future,Global Dan,Gunna,HoodRich Pablo Juan,Huncho Jack,Icy Narco,Jay Critch,Juice WRLD,Kap G,Keith Ape,Kid Trunks,Kodak Black,Landon Cube,Lil Baby,Lil Durk,Lil Gnar,Lil Keed,Lil Mosey,Lil Pump,Lil Tecca,Lil Uzi Vert,Lil Xan,Lil Yachty,Luh Kel,Matt Ox,Maxo Kream,Metro Boomin,Migos,Mike WiLL Made-It,Moneybagg Yo,NAV,NOT,Nebu Kiniza,NoCap,Offset,Oliver Francis,Paris Shadows,Pi’erre Bourne,PnB Rock,Polo G,Post Malone,Quality Control,Quando Rondo,Quavo,Quin Nfn,Rae Sremmurd,Remble,Rich The Kid,Robb Bank,Roddy Ricch,Ronny J,SOB X RBE,Sage The Gemini,SahBabii,Scorey,Sheck Wes,Shy Glizzy,SleazyWorld Go,Smooky MarGielaa,Soulja Boy,Speaker Knockerz,Supreme Patty,Swae Lee,Tay-K,Tee Grizzley,Tm88,Trippie Redd,Tyla Yaweh,Ugly God,UnoTheActivist,Unodavid,Vory,YBN Nahmir,YFN Lucci,YG,YK Osiris,YNW Melly,Young Dolph,Young M.A,Young Nudy,Young Thug,YoungBoy Never Broke Again,Yung Bans,Yung Pinch,Yung Tory,Yungeen Ace,nothingnowhere.
4,Aer,Bryce Vine,Cal Scruby,Cam Meekins,Chris Webby,Futuristic,G-Eazy,Hoodie Allen,Huey Mack,Justin Stone,Kid Quill,Lil Dicky,Logic,Luke Christopher,Nate Good,Radical Something,Ryan Caraveo,Sammy Adams,Skizzy Mars,SonReal,The Dean's List,VIC MENSA,Witt Lowry,gianni  kyle,mansionz,mike.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Asher Roth,Big Boi,Black Star,Black Thought,Blu,Common,Elzhi,Joe Budden,Little Brother,Lupe Fiasco,Mos Def,N.E.R.D,"Royce Da 5\'9""",Talib Kweli,The Roots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Beanie Sigel,Big Pun,Busta Rhymes,Cam’ron,DMX,Diddy,Eminem,Fat Joe,Foxy Brown,JAY-Z,Memphis Bleek,Method Man,Mobb Deep,Nas,The Carters,The LOX,The Notorious B.I.G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Aaron May,Autumn!,Baby Keem,Ben Reilly,Dreamville,JID,KAHDAMI,KANKAN,Ken Carson,LUCKI,Lancey Foux,MadeinTYO,Mike Dimes,Playboi Carti,SSGKobe,Sided,SoFaygo,Summrs,Yeat,Young Stoner Life,tana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,24kGoldn,Arizona Zervas,Bankrol Hayden,Dro Kenji,Fresco Trey,Internet Money,KillBunk,Lil Skies,The Kid LAROI,iann dior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A.CHAL,Amir Obe,Anfa Rose,Belly,FRVRFRIDAY,GASHI,Jazz Cartier,Reo Cragun,SAINt JHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AJ Mitchell,Bazzi,Bea Miller,Chelsea Cutler,Christian French,Jack  Jack,Jessie Reyez,John K,Julia Michaels,Khalid,Lauv,MAX,Madison Beer,Marc E. Bassy,Niall Horan,Olivia O'Brien,PRETTYMUCH,Ruel,Why Don't We,ZAYN,benny blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
